log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B KNtimeshift Ebv log_likelihood log_prior
-2.6815129596227307 -1.5230383513772068 0.02244206021671288 947.2753569630088 51.92028450381146 0.019120080472864773 -4.7779385523225315 2.2709024500585744 -0.8904190784238954 -0.18353505872942222 0.0 0.0 -155.5261175856258 -13.444068898178973
-1.174987317682956 -0.9213657045268584 0.007268519889222105 2277.415709015001 52.227092800853555 0.024023600642866724 -4.9455974214837735 2.595045621574388 -0.6270255338847779 -0.9718053930065071 0.0 0.0 -155.52178414529655 -13.029300710473024
-2.5813288317396013 -2.106875984079499 0.007164798172006556 859.9838601340149 52.16093544285841 0.018086482696261647 -5.977271077784977 2.674824481366219 -0.12509576322960747 -1.9906585407323352 0.0 0.0 -155.51995938081208 -12.778122202157132
-2.58477727241722 -1.4128701029459783 0.0028092357796476344 1659.5408463416352 52.588633282828546 0.04060010131090352 -3.4122614092377765 2.416977087906247 -0.006120446975413252 -3.6552769941254413 0.0 0.0 -155.47683604721178 -13.510657876715236
-2.4375509148302146 -0.6724772326322994 0.03128574515170341 2398.971910724019 52.008748572950466 0.03475205685251607 -3.6465622178245938 2.352000418772187 -0.34283470246535863 -1.371859530380771 0.0 0.0 -155.45373178928662 -13.75796261829905
-2.438243771076501 -1.5994944252518923 0.01333024071738639 618.2040249676032 52.01606956161703 0.02266276494407756 -5.683565627475726 2.4566535265215084 -0.5771729351441737 -1.2905255165657294 0.0 0.0 -155.44516919827652 -13.098206439697261
-2.5657185360914814 -2.102852015844837 0.009748456847100271 641.0593091873769 52.96003685180477 0.08946395453073167 0.7182282672533287 2.0676777455171416 -2.2447008197439633 -3.9795012406240327 0.0 0.0 -155.43083033520472 -14.304265998978899
-2.2893652654747303 -0.5619556676810067 0.031200288518500964 2621.856397126476 51.46366601913047 0.06743603884737964 -3.376276846598039 2.6186677134800793 -0.11867329646897762 -1.4098228866959488 0.0 0.0 -155.42281461636742 -14.122702474380475
-2.366657770748583 -2.4394809100434944 0.035219704120108095 817.4574947806648 54.34953167276335 0.024501090565066844 -0.0865679098850487 2.1123464054972216 -2.7533461150001375 -3.8823901180694085 0.0 0.0 -155.41309941173822 -14.036378247346185
-2.33501352882588 -1.0458044554564458 0.008627625516904616 1258.6431708283974 52.002431775818955 0.023948009661205687 -5.945979876074403 2.5140245933264067 -0.2815879385186353 -1.1536025005123864 0.0 0.0 -155.403082903611 -13.045274079787212
-2.556552686127142 -2.8313923436541018 0.019800539401894288 680.2861656404555 52.11233343497861 0.023521008785863547 -4.751510555281946 2.306126168329677 -0.007079630657226055 -2.341341688259927 0.0 0.0 -155.39302523253497 -13.316720958701694
-2.828707220723016 -2.7250142620009794 0.0400193190510245 891.0895176305139 50.79464135547147 0.04422007350557527 -4.415941029376541 2.641889863916253 -0.1081628344604777 -0.33795920197519536 0.0 0.0 -155.37947332887128 -14.003187950449174
-1.1573883819056838 -0.505659344247106 0.020197092576378747 2097.982170453673 52.30184217302873 0.016981467914225327 -3.7306378255149037 2.2442963857902285 -0.470592181506313 -0.9585731721819464 0.0 0.0 -155.36637130930134 -13.343905696065235
-1.2811075581704419 -0.6126832729860441 0.014309160067938202 2337.85816882724 51.80520680543553 0.027787885686699272 -3.930649187683459 2.310207265997618 -0.07613597421409324 -1.2134406910413524 0.0 0.0 -155.34186773783821 -13.26167647897422
-1.069488635250703 -2.542462407655225 0.015492914629814674 2730.857237349535 52.58689484995097 0.03194874869257387 -4.584575676064892 2.650750578027482 -0.30641653637078736 -2.18433719064231 0.0 0.0 -155.33883612504312 -13.386205179388885
