log10_Xlan log10_mej log10_vej inclination_EM luminosity_distance log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B KNtimeshift Ebv log_likelihood log_prior
-1.2326415627589054 -1.7232156235989489 -1.1085760053957472 0.013249824900307822 592.2529609334439 52.00172495342206 0.10459741215642414 -0.15677691791948511 2.2041098836555273 -0.6763224659520279 -4.4058477049219995 0.0 0.0 -102.59686845259117 -15.093641300585887
-1.9800860741178767 -1.7386189843449202 -0.7729521675040198 0.10116365685711158 281.52230127646857 51.52948476822284 0.09742143261174088 0.009372291791088116 2.1990568908569017 -0.30534742905461165 -4.676845925915114 0.0 0.0 -102.59472618176277 -15.553696019130228
-1.0684843921159932 -1.8803237913361102 -1.0980185259538287 0.09724925231221146 479.211860424815 50.5852432031457 0.19946914044874012 0.09001672164141006 2.125204951098933 -0.15677208918145968 -3.1706458102616946 0.0 0.0 -102.54869191966698 -15.849924247783985
-2.7514646319279725 -1.1069779535520434 -0.8660827614973974 0.006128508877890315 1994.4615374909745 51.471143454222755 0.08375858331800566 -1.659855401467694 2.2361577027180055 -0.3250437602464826 -2.185226906665079 0.0 0.0 -102.52296341168906 -14.866114759251698
-1.5531917107228992 -1.2882695802077349 -0.8765643805487087 0.06179992662114743 509.9237696437111 52.82711194922043 0.04919776396325041 0.1328609437953796 2.2657147731017258 -0.09230964351596072 -6.191189150972781 0.0 0.0 -102.44323436405543 -15.120307829220163
-2.0758464788691837 -1.7863560736983417 -1.3122803459446553 0.04449854672767907 304.0866968370117 53.22340004610441 0.0805360056344429 0.4113453301920744 2.1738946505266585 -2.307292238710593 -5.080371846161771 0.0 0.0 -102.41089138308853 -14.976848249464581
-2.782525807674493 -1.190922418491136 -0.6383014498782518 0.07311240670644412 730.0520779147778 51.27390600931448 0.1713766650511521 1.0463095895988896 2.1777397579067497 -0.05576292700923613 -4.6135173523664985 0.0 0.0 -102.3873613076862 -15.670360092698164
-1.4348375257138173 -1.779903539615142 -0.5486157298381313 0.0006744726664823371 326.75512144857095 51.35508278182586 0.033923161835780556 -4.46252800040236 2.2583977817003835 -1.1281049105205296 -0.5804802602572074 0.0 0.0 -102.3763243005457 -13.959794950432883
-1.2318086761250533 -1.2371491966714978 -0.9434569632791597 0.050605954808244806 565.3309171304347 52.764291911239795 0.12112265504831836 1.6233628180177169 2.161559527712757 -0.7666515340290667 -6.481600698984639 0.0 0.0 -102.37213822178798 -15.319584542669588
-1.6210868316098161 -2.347030386682943 -0.27098074918479265 0.0324900782522565 2052.197644222111 51.52907290413855 0.04748332313861458 -4.34132250545716 2.427400586152148 -0.20051080226978613 -0.7845242112720978 0.0 0.0 -102.36930775534952 -14.529971307307775
-2.9622347126307504 -1.263463471985366 -0.6774522296970396 0.02926435784353678 946.9028423326715 54.292221228057585 0.06097762614580232 0.5980337258451236 2.2884132013875336 -1.3359052253608272 -7.081489529320806 0.0 0.0 -102.36713169128535 -14.661167697946983
-1.1113288414772495 -1.3074990749618363 -1.0109697954783599 0.0057680654596544935 469.63297685674803 51.876204078016634 0.024563799493736285 -4.620903719768447 2.173551881674955 -0.4407191229291101 -2.015491534424413 0.0 0.0 -102.36092828206492 -13.664343228415024
-2.0780923272333425 -1.3831324900036719 -0.5976252771225505 0.007240611339907157 1814.2417841152394 51.75632403407114 0.03837598979622958 -3.4745942399100436 2.4748823331807377 -0.057382935033938764 -1.865801939101834 0.0 0.0 -102.34709293429648 -14.100730506803213
-2.7413511466011293 -1.9906442714304673 -0.9964470094762831 0.007152647071997134 401.5424542408102 54.38877463299592 0.05572579698270849 0.1583333683505117 2.258029356198308 -0.5621665545721468 -8.974660875208448 0.0 0.0 -102.34532286894097 -14.464179872792531
-1.8754371344517344 -1.281319910258196 -0.8356482952853747 0.020908771542030774 836.2428830803877 53.88694165037776 0.08261744125495452 1.5966854095108234 2.2583525166321543 -1.0790416779741694 -7.499939446132453 0.0 0.0 -102.32243075389178 -14.881744675125269
-2.5792079640889103 -1.1495088688791735 -0.8323957401595495 0.025245452684725632 1794.6463682760882 51.91201457103783 0.060599701631369934 -1.9667170913830923 2.2111414058521888 -0.6386343545305877 -1.95404875161055 0.0 0.0 -102.30391410188905 -14.626564391573279
-1.4520913103847466 -1.0934818111619706 -0.6063232034416486 0.01821309191342341 1662.8756175085332 51.42541073480699 0.051825346835754606 -3.1900404776512086 2.4063086217544307 -0.4926623664677834 -0.9743203072731248 0.0 0.0 -102.29588435331227 -14.445130896119306
-1.581912292948937 -1.2417103869445492 -1.3500500174492973 0.07142982295723868 530.3476653889286 51.44819950582036 0.1445642319116581 0.3300263910358172 2.1251268123579927 -0.414105816756444 -4.211301334108953 0.0 0.0 -102.29258416390317 -15.53129271864098
-1.6021778426998727 -1.388901404279941 -0.7398971679765978 0.0062735724054238644 1599.4062615365553 51.72433922816485 0.022221680891209517 -4.913288443445886 2.4951080468238094 -0.006911357825595488 -1.114791310933235 0.0 0.0 -102.27774667725281 -13.576419327816168
-1.909745731823882 -1.585938587995353 -1.355255130617674 0.04271615716028086 521.0526569975453 52.10130679419996 0.12387405915596811 0.970758395954924 2.156101572365994 -1.0172124143704888 -4.781669983457926 0.0 0.0 -102.18437197073384 -15.314220389016288
-1.942634906738931 -1.0985383831099482 -1.2609336332421202 0.027156770347310486 846.5189479610348 53.08240470051636 0.0881847904070358 0.4775174320887112 2.1838257732444912 -1.5773911979408273 -4.845651025897652 0.0 0.0 -102.16386858205202 -14.96235130258773
-1.6896855158351487 -1.3852627781138063 -0.7642758118403192 0.03400445384916623 496.6851891163395 52.66147501020373 0.04748754788565684 -1.1395709803956215 2.2120265389420797 -1.3299742427674586 -3.8740723063380287 0.0 0.0 -102.05112564700899 -14.55234560961011
-1.100823203129805 -1.6950552618938028 -1.0252303254241388 0.023420153543027587 317.14044307917067 53.063883782974 0.11622822967129129 1.4708200917183483 2.2620452910698248 -1.6631916835222116 -6.113401577294012 0.0 0.0 -102.0094579171686 -15.21135644193113
-1.1767762825325905 -1.1153296568522653 -0.9182193959536953 0.011757653890309734 579.8647876740922 52.68214398226623 0.04239592547380194 -2.0069898252598573 2.1861135372712535 -0.39124349044253925 -4.740404208400503 0.0 0.0 -102.00136447021814 -14.221007446776444
-2.6569610191448696 -1.8462076834785581 -1.2356067676842033 0.032842589903923 344.6684122801857 52.98218321313907 0.12556973295900195 1.7178541887315433 2.2025136551757636 -1.095910636892008 -6.981028160882577 0.0 0.0 -101.98791586507669 -15.30256435945989
-2.1915803895009227 -1.7837591108933588 -0.8740578011161888 0.03282362620801195 452.1353213875662 54.80201136463892 0.05788635133189319 1.1634031662267565 2.060957291020773 -3.116559701910193 -6.322541150166549 0.0 0.0 -101.93544228215744 -14.654745631098749
-1.7045148085663215 -1.1559410401576178 -0.9625348326252481 0.008020580652160676 973.8376048016189 54.36580158937384 0.04490275905760088 -0.4934229571146993 2.302708966073409 -1.5486298089291797 -6.1232366612722675 0.0 0.0 -101.91698989941058 -14.25595126736998
-2.395015260673504 -1.2946089040736766 -0.5441045281209937 0.0018191717297607228 1324.1374247071753 51.591668480678265 0.02177035266093274 -5.6962906916578575 2.2229631759387867 -0.23709990064217656 -0.08995688841431715 0.0 0.0 -101.91109114099041 -13.519539644067972
